,movies,year,imdb,metascore,votes,n_imdb
1118,The Benchwarmers,2006,5.6,25,44478,56
1119,The Covenant,2006,5.3,19,43397,53
1120,The Grudge 2,2006,5.0,33,43166,50
1121,The Wind that Shakes the Barley,2006,7.5,82,41290,75
1122,DOA: Dead or Alive,2006,4.8,38,41039,48
1123,Employee of the Month,2006,5.5,36,40677,55
1124,Candy,2006,7.3,57,39782,73
1125,Bobby,2006,7.0,54,39668,70
1126,The Last Kiss,2006,6.5,57,39542,65
1127,Curse of the Golden Flower,2006,7.0,70,39360,70
1128,When a Stranger Calls,2006,5.1,27,39004,51
1129,Glory Road,2006,7.2,58,38900,72
1130,Flyboys,2006,6.5,47,38577,65
1131,Gridiron Gang,2006,6.9,52,38228,69
1132,Black Sheep,2006,5.8,62,36954,58
1133,Big Momma's House 2,2006,4.7,34,36508,47
1134,Aquamarine,2006,5.3,51,34547,53
1135,Southland Tales,2006,5.5,44,34487,55
1136,Basic Instinct 2,2006,4.3,26,34174,43
1137,Severance,2006,6.5,62,34147,65
1138,Turistas,2006,5.4,36,33589,54
1139,The Ant Bully,2006,5.8,59,33488,58
1140,Garfield 2,2006,5.0,37,33196,50
1141,Charlotte's Web,2006,6.3,68,32190,63
1142,Day Watch,2006,6.5,59,31672,65
1143,Hollywoodland,2006,6.5,62,31006,65
1144,Bug,2006,6.1,62,30603,61
1145,Find Me Guilty,2006,7.1,65,30474,71
1146,The Marine,2006,4.7,45,30084,47
1147,Shortbus,2006,6.5,64,29855,65
1148,Man of the Year,2006,6.2,39,29827,62
1149,Arthur and the Invisibles,2006,6.0,39,29287,60
1150,After the Wedding,2006,7.8,78,28678,78
1151,All the Boys Love Mandy Lane,2006,5.6,44,28569,56
1152,Priceless,2006,7.0,72,28437,70
1153,Stay Alive,2006,5.1,24,27857,51
1154,Tales from Earthsea,2006,6.5,47,27786,65
1155,Unknown,2006,6.5,44,27723,65
1156,School for Scoundrels,2006,5.9,44,27720,59
1157,Goya's Ghosts,2006,6.9,52,27387,69
1158,Seraphim Falls,2006,6.7,62,27031,67
1159,Them,2006,6.5,60,26939,65
1160,The Santa Clause 3: The Escape Clause,2006,4.7,32,26874,47
1161,Fido,2006,6.7,70,26716,67
1162,Pulse,2006,4.7,27,26574,47
1163,This Film Is Not Yet Rated,2006,7.5,75,26467,75
1164,Miss Potter,2006,7.0,57,25957,70
1165,No Country for Old Men,2007,8.1,91,732021,81
1166,I Am Legend,2007,7.2,65,612033,72
1167,The Bourne Ultimatum,2007,8.0,85,567898,80
1168,Transformers,2007,7.1,61,557013,71
1169,Ratatouille,2007,8.0,96,549394,80
1170,Pirates of the Caribbean: At World's End,2007,7.1,50,538476,71
1171,Into the Wild,2007,8.1,73,505996,81
1172,Superbad,2007,7.6,76,468685,76
1173,Juno,2007,7.5,81,455172,75
1174,There Will Be Blood,2007,8.1,93,444720,81
1175,Spider-Man 3,2007,6.2,59,441492,62
1176,Harry Potter and the Order of the Phoenix,2007,7.5,71,426862,75
1177,Hot Fuzz,2007,7.9,81,408931,79
1178,Zodiac,2007,7.7,78,371104,77
1179,Live Free or Die Hard,2007,7.2,69,363195,72
1180,American Gangster,2007,7.8,76,356197,78
1181,Knocked Up,2007,7.0,85,324083,70
1182,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,83,313483,74
1183,Ocean's Thirteen,2007,6.9,62,288739,69
1184,Shooter,2007,7.2,53,283807,72
1185,The Simpsons Movie,2007,7.3,80,283719,73
1186,3:10 to Yuma,2007,7.7,76,262363,77
1187,The Mist,2007,7.2,58,252434,72
1188,Shrek the Third,2007,6.0,58,243074,60
1189,1408,2007,6.8,64,235504,68
1190,28 Weeks Later,2007,7.0,78,235294,70
1191,Stardust,2007,7.7,66,233087,77
1192,Fantastic 4: Rise of the Silver Surfer,2007,5.6,45,232735,56
1193,Gone Baby Gone,2007,7.7,72,225433,77
1194,Atonement,2007,7.8,85,220236,78
1195,Sunshine,2007,7.3,64,213900,73
1196,Eastern Promises,2007,7.7,82,208919,77
1197,The Bucket List,2007,7.4,42,207627,74
1198,Ghost Rider,2007,5.2,35,203226,52
1199,Paranormal Activity,2007,6.3,68,203155,63
1200,Disturbia,2007,6.9,62,202692,69
1201,National Treasure: Book of Secrets,2007,6.5,48,200544,65
1202,P.S. I Love You,2007,7.1,39,187534,71
1203,Resident Evil: Extinction,2007,6.3,41,168690,63
1204,Grindhouse,2007,7.6,77,166602,76
1205,The Golden Compass,2007,6.1,51,163422,61
1206,Fracture,2007,7.2,68,162760,72
1207,Enchanted,2007,7.1,75,160426,71
1208,The Darjeeling Limited,2007,7.2,67,159386,72
1209,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,68,152637,75
1210,30 Days of Night,2007,6.6,53,152335,66
1211,Beowulf,2007,6.2,59,152253,62
1212,Hitman,2007,6.3,35,151074,63
1213,Michael Clayton,2007,7.3,82,145923,73
1214,Blades of Glory,2007,6.3,64,143120,63
1215,Shoot 'Em Up,2007,6.7,49,137846,67
1216,Next,2007,6.2,42,136656,62
1217,Rush Hour 3,2007,6.2,44,136462,62
1218,The Orphanage,2007,7.5,74,133870,75
1219,Mr. Brooks,2007,7.3,45,133476,73
1220,I Now Pronounce You Chuck & Larry,2007,6.0,37,130515,60
1221,Lars and the Real Girl,2007,7.3,70,127838,73
1222,Evan Almighty,2007,5.4,37,127070,54
1223,Saw IV,2007,5.9,36,127034,59
1224,Bridge to Terabithia,2007,7.2,74,126877,72
1225,Bee Movie,2007,6.1,54,122445,61
1226,The Kingdom,2007,7.0,56,110415,70
1227,Hairspray,2007,6.7,81,109417,67
1228,Wild Hogs,2007,5.9,27,107313,59
1229,Aliens vs. Predator: Requiem,2007,4.7,29,105326,47
1230,Once,2007,7.9,88,102755,79
1231,Mr. Bean's Holiday,2007,6.4,56,101950,64
1232,Across the Universe,2007,7.4,56,99612,74
1233,Death at a Funeral,2007,7.4,67,98924,74
1234,Charlie Wilson's War,2007,7.1,69,98015,71
1235,Halloween,2007,6.1,47,97646,61
1236,August Rush,2007,7.5,38,96932,75
1237,The Diving Bell and the Butterfly,2007,8.0,92,96739,80
1238,Epic Movie,2007,2.3,17,96107,23
1239,Hannibal Rising,2007,6.2,35,95316,62
1240,Dan in Real Life,2007,6.8,65,92232,68
1241,Elite Squad,2007,8.1,33,90162,81
1242,Music and Lyrics,2007,6.5,59,89174,65
1243,Reign Over Me,2007,7.5,61,88825,75
1244,Before the Devil Knows You're Dead,2007,7.3,84,88484,73
1245,Vacancy,2007,6.2,54,87431,62
1246,Funny Games,2007,6.5,44,80472,65
1247,Good Luck Chuck,2007,5.6,19,79886,56
1248,Persepolis,2007,8.1,90,79474,81
1249,War,2007,6.3,36,79061,63
1250,The Heartbreak Kid,2007,5.8,46,78462,58
1251,We Own the Night,2007,6.9,59,78236,69
1252,Hostel: Part II,2007,5.5,46,78177,55
1253,Meet the Robinsons,2007,6.9,61,77152,69
1254,Dead Silence,2007,6.2,34,76679,62
1255,La Vie en Rose,2007,7.6,66,75098,76
1256,The Kite Runner,2007,7.6,61,73236,76
1257,Sicko,2007,8.0,74,70581,80
1258,88 Minutes,2007,5.9,17,70403,59
1259,The Invasion,2007,5.9,45,69774,59
1260,Awake,2007,6.5,33,68344,65
1261,Hot Rod,2007,6.7,43,67619,67
1262,Premonition,2007,5.9,29,67585,59
1263,Alvin and the Chipmunks,2007,5.2,39,66278,52
1264,Death Sentence,2007,6.8,36,65073,68
1265,No Reservations,2007,6.3,50,64955,63
1266,In the Valley of Elah,2007,7.2,65,64677,72
1267,Chak de! India,2007,8.2,68,63276,82
1268,"Run, Fatboy, Run",2007,6.6,48,62547,66
1269,Walk Hard: The Dewey Cox Story,2007,6.8,63,61075,68
1270,Surf's Up,2007,6.7,64,60423,67
1271,Norbit,2007,4.0,27,60356,40
1272,Elizabeth: The Golden Age,2007,6.9,45,60277,69
1273,Freedom Writers,2007,7.5,64,59985,75
1274,Charlie Bartlett,2007,7.0,54,59853,70
1275,TMNT,2007,6.3,41,57261,63
1276,Control,2007,7.7,78,56346,77
1277,The Hills Have Eyes II,2007,5.1,32,55497,51
1278,Breach,2007,7.0,74,54948,70
1279,The Brave One,2007,6.8,56,54293,68
1280,The Lookout,2007,7.0,73,54063,70
1281,Becoming Jane,2007,7.1,55,52680,71
1282,The Nanny Diaries,2007,6.2,46,52599,62
1283,I'm Not There.,2007,7.0,73,52544,70
1284,The Great Debaters,2007,7.6,65,52224,76
1285,Rendition,2007,6.8,55,51113,68
1286,The Game Plan,2007,6.2,44,51108,62
1287,"4 Months, 3 Weeks and 2 Days",2007,7.9,97,50566,79
1288,Timecrimes,2007,7.2,68,50247,72
1289,My Blueberry Nights,2007,6.7,52,48297,67
1290,The Condemned,2007,6.1,23,47704,61
1291,Cassandra's Dream,2007,6.7,49,47340,67
1292,Lions for Lambs,2007,6.2,47,44563,62
1293,Diary of the Dead,2007,5.7,66,43459,57
1294,Sydney White,2007,6.3,45,41995,63
1295,Perfect Stranger,2007,5.7,31,41331,57
1296,In the Name of the King: A Dungeon Siege Tale,2007,3.8,15,41249,38
1297,Mongol: The Rise of Genghis Khan,2007,7.3,74,41200,73
1298,Waitress,2007,7.0,75,40812,70
1299,The Counterfeiters,2007,7.6,78,40177,76
1300,The Reaping,2007,5.7,36,40014,57
1301,Pathfinder,2007,5.4,29,39981,54
1302,The Visitor,2007,7.7,79,39670,77
1303,Mr. Magorium's Wonder Emporium,2007,6.2,48,39119,62
1304,Teeth,2007,5.4,57,38219,54
1305,Balls of Fury,2007,5.3,38,38195,53
1306,The Hitcher,2007,5.6,28,37751,56
1307,The Messengers,2007,5.4,34,35937,54
1308,Fred Claus,2007,5.6,42,35563,56
1309,License to Wed,2007,5.3,25,35436,53
1310,Boy A,2007,7.6,75,35252,76
1311,Cleaner,2007,6.1,49,35032,61
1312,Because I Said So,2007,5.6,26,35013,56
1313,The Water Horse,2007,6.5,71,34701,65
1314,The Savages,2007,7.2,85,33835,72
1315,"Lust, Caution",2007,7.6,61,33713,76
1316,Mr. Woodcock,2007,5.2,41,33284,52
1317,The Invisible,2007,6.3,36,32986,63
1318,The King of Kong: A Fistful of Quarters,2007,8.1,83,32830,81
1319,The Air I Breathe,2007,6.9,37,32573,69
1320,The Last Legion,2007,5.4,37,31979,54
1321,The Nines,2007,6.4,52,30844,64
1322,In the Land of Women,2007,6.5,47,29683,65
1323,Son of Rambow,2007,7.0,66,29063,70
1324,P2,2007,5.9,37,28785,59
1325,2 Days in Paris,2007,6.8,67,28636,68
1326,The Edge of Heaven,2007,7.8,85,28321,78
1327,Sleuth,2007,6.5,49,28309,65
1328,Paranoid Park,2007,6.7,83,26978,67
1329,Things We Lost in the Fire,2007,7.2,63,26178,72
1330,The Dark Knight,2008,9.0,84,1968937,90
1331,WALL·E,2008,8.4,95,864236,84
1332,Iron Man,2008,7.9,79,811983,79
1333,Slumdog Millionaire,2008,8.0,86,722704,80
1334,Gran Torino,2008,8.1,72,647651,81
1335,Taken,2008,7.8,50,526486,78
1336,The Curious Case of Benjamin Button,2008,7.8,70,520876,78
1337,Hancock,2008,6.4,49,396263,64
1338,Twilight,2008,5.2,56,380405,52
1339,The Hurt Locker,2008,7.6,94,379116,76
1340,The Incredible Hulk,2008,6.8,61,378516,68
1341,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,65,377322,62
1342,Quantum of Solace,2008,6.6,58,367064,66
1343,Kung Fu Panda,2008,7.6,73,361702,76
1344,In Bruges,2008,7.9,67,350238,79
1345,Tropic Thunder,2008,7.0,71,342303,70
1346,Cloverfield,2008,7.0,64,341136,70
1347,Wanted,2008,6.7,64,331515,67
1348,Yes Man,2008,6.8,46,301704,68
1349,Pineapple Express,2008,7.0,64,284344,70
1350,Burn After Reading,2008,7.0,63,277293,70
1351,The Wrestler,2008,7.9,81,272466,79
1352,Jumper,2008,6.1,35,265552,61
1353,Seven Pounds,2008,7.6,36,260561,76
1354,Forgetting Sarah Marshall,2008,7.2,67,241205,72
1355,Step Brothers,2008,6.9,51,237974,69
1356,Hellboy II: The Golden Army,2008,7.0,78,231895,70
1357,Vicky Cristina Barcelona,2008,7.1,70,221881,71
1358,Changeling,2008,7.8,63,217830,78
1359,RocknRolla,2008,7.3,53,214401,73
1360,The Reader,2008,7.6,58,211961,76
1361,21,2008,6.8,48,208590,68
1362,Role Models,2008,6.9,61,207657,69
1363,Valkyrie,2008,7.1,56,207315,71
1364,Rambo,2008,7.0,46,196411,70
1365,Body of Lies,2008,7.1,57,194012,71
1366,Ip Man,2008,8.0,59,191544,80
1367,Let the Right One In,2008,7.9,82,190203,79
1368,Get Smart,2008,6.5,54,184762,65
1369,Death Race,2008,6.4,43,182996,64
1370,The Happening,2008,5.0,34,180436,50
1371,Mamma Mia!,2008,6.4,51,179077,64
1372,Madagascar: Escape 2 Africa,2008,6.7,61,173021,67
1373,You Don't Mess with the Zohan,2008,5.5,54,172609,55
1374,Revolutionary Road,2008,7.3,69,171599,73
1375,The Chronicles of Narnia: Prince Caspian,2008,6.5,62,171477,65
1376,Bolt,2008,6.9,67,167453,69
1377,Eagle Eye,2008,6.6,43,163485,66
1378,The Bank Job,2008,7.3,69,163027,73
1379,Zack and Miri Make a Porno,2008,6.6,56,161573,66
1380,The Boy in the Striped Pajamas,2008,7.8,55,160992,78
1381,What Happens in Vegas,2008,6.1,36,153943,61
1382,The Day the Earth Stood Still,2008,5.5,40,152046,55
1383,Milk,2008,7.6,84,151654,76
1384,Transporter 3,2008,6.1,51,142659,61
1385,"Definitely, Maybe",2008,7.2,59,142011,72
1386,27 Dresses,2008,6.1,47,139919,61
1387,Vantage Point,2008,6.6,40,136407,66
1388,The Mummy: Tomb of the Dragon Emperor,2008,5.2,31,135397,52
1389,Marley & Me,2008,7.1,53,131773,71
1390,Defiance,2008,7.2,58,127452,72
1391,Harold & Kumar Escape from Guantanamo Bay,2008,6.6,57,122535,66
1392,Horton Hears a Who!,2008,6.8,71,117930,68
1393,"10,000 BC",2008,5.1,34,117683,51
1394,Max Payne,2008,5.4,31,115556,54
1395,Australia,2008,6.6,53,111430,66
1396,Doubt,2008,7.5,68,110626,75
1397,Sex and the City,2008,5.6,53,107471,56
1398,The Strangers,2008,6.2,47,106737,62
1399,Bronson,2008,7.1,71,105186,71
1400,Saw V,2008,5.8,20,102994,58
1401,Ponyo,2008,7.7,86,102270,77
1402,Street Kings,2008,6.8,55,100990,68
1403,Journey to the Center of the Earth,2008,5.8,57,100630,58
1404,Meet the Spartans,2008,2.7,9,95475,27
1405,Frost/Nixon,2008,7.7,80,95407,77
1406,The Forbidden Kingdom,2008,6.6,57,95050,66
1407,Mirrors,2008,6.2,35,94994,62
1408,The Other Boleyn Girl,2008,6.7,50,93593,67
1409,Never Back Down,2008,6.6,39,88643,66
1410,Babylon A.D.,2008,5.6,26,88052,56
1411,Be Kind Rewind,2008,6.4,52,84713,64
1412,The X Files: I Want to Believe,2008,5.9,47,84027,59
1413,Nick and Norah's Infinite Playlist,2008,6.7,64,82330,67
1414,Disaster Movie,2008,1.9,15,80737,19
1415,Bedtime Stories,2008,6.1,33,79891,61
1416,Righteous Kill,2008,6.0,36,79136,60
1417,Sex Drive,2008,6.5,49,78409,65
1418,The Spiderwick Chronicles,2008,6.6,62,78373,66
1419,Step Up 2: The Streets,2008,6.3,50,74439,63
1420,Semi-Pro,2008,5.8,47,72863,58
1421,The House Bunny,2008,5.5,55,71571,55
1422,Felon,2008,7.5,58,71253,75
1423,The Duchess,2008,6.9,62,70096,69
1424,"Synecdoche, New York",2008,7.5,67,68510,75
1425,Outlander,2008,6.3,40,67857,63
1426,Eden Lake,2008,6.8,65,67492,68
1427,Doomsday,2008,6.0,51,67317,60
1428,Fool's Gold,2008,5.7,29,66644,57
1429,Sunshine Cleaning,2008,6.9,61,65566,69
1430,How to Lose Friends & Alienate People,2008,6.4,35,64730,64
1431,Ghost Town,2008,6.7,72,64715,67
1432,Blindness,2008,6.6,45,64551,66
1433,The Ruins,2008,5.9,44,64401,59
1434,Speed Racer,2008,6.0,37,63685,60
1435,Quarantine,2008,6.0,53,63562,60
1436,Made of Honor,2008,5.9,37,61162,59
1437,Hunger,2008,7.6,82,59166,76
1438,City of Ember,2008,6.5,58,58401,65
1439,Superhero Movie,2008,4.5,33,58031,45
1440,The Spirit,2008,4.8,30,56782,48
1441,Pride and Glory,2008,6.7,45,56300,67
1442,Religulous,2008,7.7,56,55327,77
1443,Four Christmases,2008,5.7,41,55288,57
1444,Punisher: War Zone,2008,6.0,30,55244,60
1445,Appaloosa,2008,6.7,64,54477,67
1446,Drillbit Taylor,2008,5.7,41,54311,57
1447,The Midnight Meat Train,2008,6.1,58,53753,61
1448,Traitor,2008,7.0,60,52347,70
1449,Bangkok Dangerous,2008,5.4,24,51922,54
1450,Waltz with Bashir,2008,8.0,91,51049,80
1451,High School Musical 3: Senior Year,2008,4.6,57,50793,46
1452,Star Wars: The Clone Wars,2008,5.9,35,48884,59
1453,The Eye,2008,5.4,36,47950,54
1454,Man on Wire,2008,7.8,89,47830,78
1455,"Food, Inc.",2008,7.8,80,46968,78
1456,The Chaser,2008,7.9,64,46768,79
1457,The Love Guru,2008,3.8,24,46516,38
1458,Transsiberian,2008,6.7,72,46476,67
1459,The Brothers Bloom,2008,6.8,55,45485,68
1460,Lakeview Terrace,2008,6.1,47,44827,61
1461,Untraceable,2008,6.2,32,44383,62
1462,Rachel Getting Married,2008,6.7,82,44165,67
1463,W.,2008,6.3,56,43500,63
1464,Departures,2008,8.1,68,43395,81
1465,Gomorrah,2008,7.0,87,42365,70
1466,"New York, I Love You",2008,6.3,49,42271,63
1467,Red Cliff,2008,7.4,73,40505,74
1468,My Best Friend's Girl,2008,5.9,34,40028,59
1469,Baby Mama,2008,6.0,55,37553,60
1470,JCVD,2008,7.2,64,35631,72
1471,Deception,2008,6.1,31,35598,61
1472,Happy-Go-Lucky,2008,7.0,84,35210,70
1473,Meet Dave,2008,5.0,43,34952,50
1474,The Hottie & the Nottie,2008,1.9,7,34762,19
1475,The Rocker,2008,6.2,53,34713,62
1476,Nothing But the Truth,2008,7.2,64,33465,72
1477,The Tale of Despereaux,2008,6.1,53,33441,61
1478,Two Lovers,2008,7.0,74,32934,70
1479,The Baader Meinhof Complex,2008,7.4,76,32803,74
1480,The Class,2008,7.5,92,31719,75
1481,Passengers,2008,5.9,40,31168,59
1482,Prom Night,2008,3.9,17,30710,39
1483,Nim's Island,2008,6.0,55,30635,60
1484,Choke,2008,6.5,47,30080,65
1485,Shutter,2008,5.2,37,29962,52
1486,Che: Part Two,2008,6.9,64,29950,69
1487,Splinter,2008,6.1,58,29946,61
1488,Chaos Theory,2008,6.7,44,29853,67
1489,The Good the Bad the Weird,2008,7.3,69,29776,73
1490,Leatherheads,2008,6.0,56,29447,60
1491,Mesrine Part 1: Killer Instinct,2008,7.6,71,29382,76
1492,One Missed Call,2008,4.0,24,28914,40
1493,Pathology,2008,6.0,55,28857,60
1494,The Wackness,2008,7.0,61,28702,70
1495,Dear Zachary: A Letter to a Son About His Father,2008,8.6,82,27869,86
1496,On-Bak 2,2008,6.2,47,27089,62
1497,Mesrine Part 2: Public Enemy #1,2008,7.5,72,26017,75
1498,Pontypool,2008,6.6,54,25849,66
1499,Jodhaa Akbar,2008,7.6,69,25400,76
1500,Inglourious Basterds,2009,8.3,69,1065928,83
1501,Avatar,2009,7.8,83,1003107,78
1502,Up,2009,8.3,88,804036,83
1503,The Hangover,2009,7.7,73,648438,77
1504,District 9,2009,7.9,81,588489,79
1505,Star Trek,2009,8.0,82,547497,80
1506,Sherlock Holmes,2009,7.6,57,532906,76
1507,Zombieland,2009,7.7,73,440851,77
1508,Watchmen,2009,7.6,56,438644,76
1509,500 Days of Summer,2009,7.7,76,427730,77
1510,X-Men Origins: Wolverine,2009,6.6,40,419657,66
1511,Harry Potter and the Half-Blood Prince,2009,7.6,78,392013,76
1512,Transformers: Revenge of the Fallen,2009,6.0,35,355553,60
1513,2012,2009,5.8,49,317809,58
1514,Terminator Salvation,2009,6.6,49,312545,66
1515,Moon,2009,7.9,67,301384,79
1516,Up in the Air,2009,7.4,83,294055,74
1517,3 Idiots,2009,8.4,67,282040,84
1518,The Proposal,2009,6.7,48,261455,67
1519,The Blind Side,2009,7.7,53,256869,77
1520,Public Enemies,2009,7.0,70,254466,70
1521,Angels & Demons,2009,6.7,48,244095,67
1522,Law Abiding Citizen,2009,7.4,34,243327,74
1523,The Twilight Saga: New Moon,2009,4.7,44,241199,47
1524,Fast & Furious,2009,6.6,46,234162,66
1525,Knowing,2009,6.2,41,204168,62
1526,The Road,2009,7.3,64,200915,73
1527,Ice Age: Dawn of the Dinosaurs,2009,7.0,50,193576,70
1528,The Girl with the Dragon Tattoo,2009,7.8,76,192008,78
1529,Mr. Nobody,2009,7.9,63,188416,79
1530,G.I. Joe: The Rise of Cobra,2009,5.8,32,188010,58
1531,The Ugly Truth,2009,6.5,28,183968,65
1532,"I Love You, Man",2009,7.0,70,181558,70
1533,Cloudy with a Chance of Meatballs,2009,7.0,66,177623,70
1534,Drag Me to Hell,2009,6.6,83,172718,66
1535,Coraline,2009,7.7,80,171943,77
1536,Orphan,2009,7.0,42,169157,70
1537,Fantastic Mr. Fox,2009,7.8,83,168871,78
1538,The Taking of Pelham 123,2009,6.4,55,167572,64
1539,The Secret in Their Eyes,2009,8.2,80,164924,82
1540,17 Again,2009,6.4,48,161946,64
1541,Surrogates,2009,6.3,45,160743,63
1542,Night at the Museum: Battle of the Smithsonian,2009,5.9,42,152815,59
1543,He's Just Not That Into You,2009,6.4,47,145757,64
1544,Adventureland,2009,6.8,76,144086,68
1545,The Lovely Bones,2009,6.7,42,140544,67
1546,Underworld: Rise of the Lycans,2009,6.6,44,138097,66
1547,Invictus,2009,7.4,74,137387,74
1548,The Imaginarium of Doctor Parnassus,2009,6.8,65,135933,68
1549,Pandorum,2009,6.8,28,134029,68
1550,Brüno,2009,5.8,54,131032,58
1551,Monsters vs. Aliens,2009,6.5,56,130769,65
1552,The Time Traveler's Wife,2009,7.1,47,128602,71
1553,Crank: High Voltage,2009,6.2,41,127365,62
1554,State of Play,2009,7.1,64,123076,71
1555,9,2009,7.1,60,122543,71
1556,Gamer,2009,5.8,27,122418,58
1557,An Education,2009,7.3,85,120964,73
1558,The Men Who Stare at Goats,2009,6.2,54,119072,62
1559,A Serious Man,2009,7.0,79,116909,70
1560,Daybreakers,2009,6.5,57,114262,65
1561,Funny People,2009,6.3,60,107271,63
1562,The Princess and the Frog,2009,7.1,73,104221,71
1563,The Invention of Lying,2009,6.4,58,103864,64
1564,Jennifer's Body,2009,5.2,47,103075,52
1565,Antichrist,2009,6.6,49,102018,66
1566,Brothers,2009,7.1,58,99861,71
1567,Pirate Radio,2009,7.4,58,99298,74
1568,Push,2009,6.1,36,98522,61
1569,Precious,2009,7.3,79,97703,73
1570,A Single Man,2009,7.6,77,96869,76
1571,Where the Wild Things Are,2009,6.8,71,94719,68
1572,Paul Blart: Mall Cop,2009,5.2,39,92878,52
1573,Julie & Julia,2009,7.0,66,91899,70
1574,Couples Retreat,2009,5.5,23,91801,55
1575,Bride Wars,2009,5.5,24,90979,55
1576,Saw VI,2009,6.0,30,89967,60
1577,A Christmas Carol,2009,6.8,55,86718,68
1578,A Prophet,2009,7.9,90,86213,79
1579,Splice,2009,5.7,66,85781,57
1580,Friday the 13th,2009,5.6,34,85763,56
1581,The Final Destination,2009,5.2,30,85761,52
1582,I Love You Phillip Morris,2009,6.6,65,85513,66
1583,The International,2009,6.5,52,85223,65
1584,Year One,2009,4.9,34,83429,49
1585,The Box,2009,5.6,47,83257,56
1586,My Sister's Keeper,2009,7.4,51,82933,74
1587,The Girl Who Played with Fire,2009,7.2,66,82168,72
1588,Harry Brown,2009,7.2,55,79272,72
1589,It's Complicated,2009,6.6,57,78067,66
1590,Crazy Heart,2009,7.3,83,77042,73
1591,The Last House on the Left,2009,6.6,42,76866,66
1592,Ghosts of Girlfriends Past,2009,5.8,34,75274,58
1593,Bad Lieutenant: Port of Call New Orleans,2009,6.6,69,69590,66
1594,The Uninvited,2009,6.4,43,69501,64
1595,Youth in Revolt,2009,6.5,63,69415,65
1596,Confessions of a Shopaholic,2009,5.9,38,69220,59
1597,Case 39,2009,6.2,25,68768,62
1598,The Fourth Kind,2009,5.9,34,68462,59
1599,The Human Centipede (First Sequence),2009,4.4,33,65617,44
1600,Whatever Works,2009,7.2,45,65589,72
1601,Solomon Kane,2009,6.1,48,64638,61
1602,Dragonball: Evolution,2009,2.6,45,63859,26
1603,Chloe,2009,6.3,48,63251,63
1604,Ninja Assassin,2009,6.4,34,63013,64
1605,A Perfect Getaway,2009,6.5,63,62287,65
1606,Dogtooth,2009,7.3,73,62142,73
1607,[Rec] 2,2009,6.5,52,62015,65
1608,The White Ribbon,2009,7.8,82,60853,78
1609,The Girl Who Kicked the Hornet's Nest,2009,7.3,60,60191,73
1610,Whip It,2009,6.9,68,60175,69
1611,Agora,2009,7.2,55,59680,72
1612,Dead Snow,2009,6.3,61,59589,63
1613,Land of the Lost,2009,5.4,32,58822,54
1614,The Informant!,2009,6.5,66,58229,65
1615,The Boondock Saints II: All Saints Day,2009,6.3,24,57358,63
1616,Enter the Void,2009,7.3,69,56713,73
1617,Brooklyn's Finest,2009,6.7,43,56666,67
1618,Observe and Report,2009,5.8,54,55981,58
1619,The Haunting in Connecticut,2009,5.9,33,55060,59
1620,Everybody's Fine,2009,7.1,47,54908,71
1621,Fish Tank,2009,7.3,81,53495,73
1622,Fanboys,2009,6.6,45,53364,66
1623,The Young Victoria,2009,7.3,64,52151,73
1624,The Collector,2009,6.4,29,50543,64
1625,Valhalla Rising,2009,6.0,61,50049,60
1626,In the Loop,2009,7.5,83,49605,75
1627,My Bloody Valentine,2009,5.5,51,49436,55
1628,Race to Witch Mountain,2009,5.7,52,49376,57
1629,Away We Go,2009,7.1,58,48943,71
1630,The Soloist,2009,6.7,61,47624,67
1631,Planet 51,2009,6.1,39,45903,61
1632,The Unborn,2009,4.8,30,45878,48
1633,Duplicity,2009,6.2,69,44449,62
1634,The Cove,2009,8.5,84,44240,85
1635,Extract,2009,6.2,61,41864,62
1636,Halloween II,2009,4.9,35,41847,49
1637,Black Dynamite,2009,7.4,65,41057,74
1638,District 13: Ultimatum,2009,6.5,64,40329,65
1639,Nine,2009,5.8,49,40178,58
1640,Fired Up!,2009,6.2,31,39985,62
1641,Cirque du Freak: The Vampire's Assistant,2009,5.9,43,39373,59
1642,Capitalism: A Love Story,2009,7.4,61,38934,74
1643,The Pink Panther 2,2009,5.6,36,37815,56
1644,G-Force,2009,5.1,41,37621,51
1645,Alvin and the Chipmunks: The Squeakquel,2009,4.5,41,37273,45
1646,The Damned United,2009,7.6,81,36990,76
1647,Notorious,2009,6.7,60,36916,67
1648,All About Steve,2009,4.8,17,36466,48
1649,The Joneses,2009,6.5,55,36187,65
1650,Thirst,2009,7.2,73,36142,72
1651,Hannah Montana: The Movie,2009,4.3,47,35695,43
1652,This Is It,2009,7.3,67,35669,73
1653,Spread,2009,5.9,43,35507,59
1654,Coco Before Chanel,2009,6.7,65,35485,67
1655,About Elly,2009,8.1,87,35483,81
1656,The House of the Devil,2009,6.4,73,35312,64
1657,Mother,2009,7.8,79,34997,78
1658,World's Greatest Dad,2009,6.9,69,34830,69
1659,Broken Embraces,2009,7.2,76,34785,72
1660,Middle Men,2009,6.6,60,34684,66
1661,After.Life,2009,5.9,36,33803,59
1662,Old Dogs,2009,5.4,19,33770,54
1663,Defendor,2009,6.8,57,33653,68
1664,Did You Hear About the Morgans?,2009,4.8,27,33201,48
1665,Soul Kitchen,2009,7.3,76,32957,73
